Vel U OpenFoam,Vel U python,Vel V OpenFoam,Vel V Python,Pressure OpenFoam,Pressure Python,Vel U OpenFoam,Vel U python,Vel V OpenFoam,Vel V Python,Pressure OpenFoam,Pressure Python,Vel U OpenFoam,Vel U python,Vel V OpenFoam,Vel V Python,Pressure OpenFoam,Pressure Python
0,0,0.025915,0.00E+00,-1.253,-2.32E+01,0,0.00E+00,0.021899,0.00E+00,-0.026252,-2.72E-02,0,0.00E+00,0.053244,0.00E+00,-0.031551,7.45E-03
-2.72E-09,-0.0019,0,1.30E-02,-1.1998,-2.32E+01,-0.0012425,-1.18E-03,0,1.93E-02,-0.026008,-2.69E-02,0.011603,6.64E-03,0,3.60E-02,-0.031638,7.42E-03
-0.0017254,-0.00341,0.050512,2.33E-02,-1.3592,-2.33E+01,-0.0026071,-2.42E-03,0.042308,3.72E-02,-0.02674,-2.75E-02,0.019059,1.13E-02,0.10345,6.86E-02,-0.031418,7.49E-03
-0.0034892,-0.0046,0.073721,3.13E-02,-1.4578,-2.33E+01,-0.0040733,-3.71E-03,0.061247,5.38E-02,-0.0272,-2.80E-02,0.022738,1.43E-02,0.14968,9.77E-02,-0.031405,7.51E-03
-0.0052813,-0.00553,0.095482,3.74E-02,-1.5446,-2.33E+01,-0.0056236,-5.04E-03,0.078748,6.92E-02,-0.027615,-2.85E-02,0.023033,1.57E-02,0.191,1.24E-01,-0.031558,7.47E-03
-0.0070932,-0.00626,0.11575,4.20E-02,-1.6225,-2.33E+01,-0.0072441,-6.39E-03,0.094849,8.32E-02,-0.028,-2.89E-02,0.020356,1.56E-02,0.22686,1.46E-01,-0.0319,7.36E-03
-0.0089174,-0.00684,0.13449,4.53E-02,-1.6915,-2.32E+01,-0.0089238,-7.76E-03,0.10959,9.60E-02,-0.028358,-2.93E-02,0.015134,1.42E-02,0.25724,1.66E-01,-0.032451,7.17E-03
-0.010748,-0.00729,0.15168,4.78E-02,-1.7516,-2.32E+01,-0.010654,-9.14E-03,0.12304,1.08E-01,-0.028692,-2.97E-02,0.007796,1.16E-02,0.28254,1.83E-01,-0.033221,6.90E-03
-0.01258,-0.00766,0.16731,4.94E-02,-1.8028,-2.31E+01,-0.012429,-1.05E-02,0.13523,1.18E-01,-0.029005,-3.00E-02,-0.0012577,7.90E-03,0.30343,1.98E-01,-0.034216,6.53E-03
-0.014409,-0.00795,0.18139,5.04E-02,-1.8454,-2.31E+01,-0.014244,-1.19E-02,0.14624,1.28E-01,-0.0293,-3.03E-02,-0.011677,3.17E-03,0.32064,2.12E-01,-0.035432,6.05E-03
-0.016233,-0.00819,0.19393,5.09E-02,-1.8795,-2.30E+01,-0.016098,-1.33E-02,0.15612,1.36E-01,-0.029583,-3.06E-02,-0.023181,-2.51E-03,0.33481,2.24E-01,-0.036867,5.47E-03
-0.01805,-0.0084,0.20495,5.11E-02,-1.9054,-2.29E+01,-0.01799,-1.48E-02,0.16495,1.43E-01,-0.029857,-3.08E-02,-0.03557,-9.08E-03,0.34639,2.36E-01,-0.038515,4.77E-03
-0.019858,-0.00858,0.21448,5.09E-02,-1.9232,-2.28E+01,-0.019921,-1.62E-02,0.17277,1.50E-01,-0.030126,-3.11E-02,-0.048728,-1.65E-02,0.35567,2.47E-01,-0.040368,3.94E-03
-0.021657,-0.00874,0.22256,5.04E-02,-1.9334,-2.26E+01,-0.021894,-1.76E-02,0.17967,1.56E-01,-0.030396,-3.13E-02,-0.062604,-2.48E-02,0.3628,2.57E-01,-0.042415,2.98E-03
